hashtags,text,user
[],RT @AbdulMahmud01: Where's that Kwara farmer? Or that farmer boy from Kwara? Can't recall his handle. One of the Great Oracle's ardent foll…,folu_adey
[],"RT @ipoke__em: I've been in Ghana for 10years....
I completed both SHS and University here in GHANA and I'm now working in a Good company w…",papa__kofi
"['CX', 'employees', 'AI']","Oracle: Need solutions to deliver a wining #CX? Do you have enough #employees to throw at the issue? If not, #AI-po… https://t.co/uyZHhCiXMx",katmooracle
[],"RT @rhiannonthropp: i want to practice with my new deck + get my mind off some stuff... 

so let’s do some oracle card reading✨ 

(plz read…",bookingwayreads
[],"RT @DonaldOJDK: @karianna @brunoborges @shipilev @speakjava @AndrewHaley13 @RedHat @awscloud @SAP @adoptopenjdk While backporting is work,…",Sharat_Chander
[],RT @AbdulMahmud01: Where's that Kwara farmer? Or that farmer boy from Kwara? Can't recall his handle. One of the Great Oracle's ardent foll…,DeeDivar
[],JOB: Portland OR USA - Administrative Assistant / Executive Assistant / Secretary / Oracle - The Executiv: The Exec… https://t.co/otPvgBLoRU,JobsVancouverWA
"['microsoft', 'oracle']",@Microsoft and @Oracle to interconnect Microsoft Azure and Oracle Cloud #microsoft #oracle https://t.co/s0BYuy0coQ,SubInsider
[],@sweetmomohunni Yesssss oracle,ASAPJAEHWAN
[],Oracle's Steve Miranda on SaaS progress - 'We're comfortable' https://t.co/hSn0AWsx66 https://t.co/AKtI5cqXD1,softwarelawyer
[],"RT @ipoke__em: I've been in Ghana for 10years....
I completed both SHS and University here in GHANA and I'm now working in a Good company w…",Ayee_itsTray
[],"@AbdulMahmud01 The great oracle!  The great Oracle!  The great Oracle. 

Just hailing  you o. No words from above today???",SeyreefHassan
[],Denver CO USA - Oracle Database Administrator - Oracle Database Administrator at Businessolver View : Oracle Databa… https://t.co/6oWTozgU3Z,ArvadaCOJobs
['cloud'],"Trust us, we know switching over to the #cloud is no small decision. Join our webinar at next month on 7/25 to disc… https://t.co/q5XkjusJGm",AppsAssociates
[],Oracle's Cloud Business Momentum Makes Us Revise Our Fair Value Estimate Upward https://t.co/7LkXa21Wn3,bankinformer
[],RT @JohnWings: AOT and JIT. Andrew Dinn nailed it. https://t.co/dyZ4ID08so,Ciberon
[],"Okay so I'll be doing donation based mini Oracle readings just because I love this Oracle deck so much, 3 cards.
He… https://t.co/uazcLnHv9H",taisoleil
